,uuid,city,visual_complexity
61,1c503699-6f99-4a06-a19a-61f1d010e844,Amsterdam,1.7014517506996976
62,13ba47a5-d1a4-46e4-8c84-dbb6d20c8f42,Amsterdam,2.177800194824169
63,9ee87f21-573d-4718-8567-73bb97c0ae04,Amsterdam,1.7772933233783144
64,5ff3f497-1187-4da9-a5d8-9fce6ffe86c5,Amsterdam,2.1319536239842547
65,230a8e09-a4f6-4583-ab12-5b87cea82783,Amsterdam,1.3384881358199276
66,ab7e38ec-e3c8-4b3a-9f17-a138c02d7f0d,Amsterdam,2.1478368523340787
67,5abe4c3c-a18d-4211-8f03-ce36ba307b2c,Amsterdam,1.8366135595354582
68,19b33d7a-589f-4778-a32e-4faf7b728761,Amsterdam,1.4933435357966087
69,483d7b0a-da86-4626-a2d5-5602231c9cdc,Amsterdam,1.8008771501570728
70,0cfa1713-19ad-4123-9955-8b6849726711,Amsterdam,1.5702939698752965
71,46737ea0-a308-414b-85fb-4fe038bf92fa,Amsterdam,1.7236122307867419
72,6dd940f1-3b46-4dac-812f-3f916a1a87d1,Amsterdam,1.143946793607231
73,3355dfc9-c338-4f29-b46d-7d4009baa942,Amsterdam,1.4256412246773738
74,bef6f648-2aab-4324-9548-1985e974cdf9,Amsterdam,2.077815452295483
75,f17d4a1e-3391-4198-8a46-7ecfdfe73dd0,Amsterdam,2.0019125917752922
76,2910a707-43e1-432b-ab00-cf3fce9eb94b,Amsterdam,1.599065636845353
77,d0fe9509-6f6e-4cfc-8def-f92b3cdc5524,Amsterdam,2.255881930280108
78,6c361458-1eb8-4ad9-88c1-4760a2f691b9,Amsterdam,1.7299547457079238
79,e712d44e-240c-436e-bc0f-2914ce881f9f,Amsterdam,1.7997825941062877
80,bf4a132b-1a31-4cdf-b112-410fe5d292fa,Amsterdam,1.9195873408937558
81,6dbaf9df-27e2-4dba-8738-2017efed3f35,Amsterdam,1.6485265366171378
82,cafa87d5-0d76-4804-970f-710e3f64513a,Amsterdam,1.6481718056883674
83,fe6552ba-5cd3-4467-84be-28308046f624,Amsterdam,1.0989214530589904
84,d234d2f2-6d9f-4b8b-8504-b7bc5196e247,Amsterdam,1.9339522851837252
85,6786834c-c755-44fd-a1c8-7e08f3fc958c,Amsterdam,1.5291974778042432
86,fe26594f-52ca-4936-8c81-1e96407312dc,Amsterdam,1.8898846824490705
87,f5d6b0b5-f3ad-4f86-8365-0bca7f6c2608,Amsterdam,2.1233544680342566
88,7a9b3023-3d07-48c2-b342-14ce30ff7946,Amsterdam,1.5785292427854083
89,3150273d-07ca-4f16-b274-7f1cfc97e3a0,Amsterdam,1.3540698654899992
90,eb049092-a63b-458c-9018-1d670918c779,Amsterdam,2.089650624929974
91,d5e7e852-ba87-4449-a12e-3b850dc89cb5,Amsterdam,1.590670325342298
92,be6a5572-a49c-447a-ab56-22b975badd77,Amsterdam,1.8726543027061564
93,250ffbc8-004a-4435-8b1d-59958b06ada7,Amsterdam,1.3310262674742148
94,615a91af-935e-40d1-b20e-a3fa53f9fca2,Amsterdam,1.762901922939316
95,bfe5ddda-9d2e-4a51-95aa-fab6d06a6fdc,Amsterdam,1.4920218700883379
96,953b30ae-a831-4bfa-b0ba-c080c71b019a,Amsterdam,1.5192007579066924
97,f21095e6-e47a-46ea-ad3c-04d93dd09795,Amsterdam,1.7446006979511754
98,dfadd2d8-27b2-443c-bd84-70222eada34e,Amsterdam,1.434394748406659
99,1b2a5147-0bb5-4048-a63a-6249821313cb,Amsterdam,1.5128608684272296
100,f2d0d196-36bd-4ce1-b1ee-93ee540fbc0a,Amsterdam,1.6023921706972708
101,8885c9bb-36cf-4d19-958f-1db43977098b,Amsterdam,1.9711480079198265
102,751c100a-a46c-41bf-a6fe-a5c98b2b4793,Amsterdam,2.162906717622375
103,a1c5bb17-2bc4-4249-b991-f5145ad642b5,Amsterdam,1.4742601360479006
104,b81318d0-237a-43ed-a72f-4454d4ba6636,Amsterdam,1.6584709505503303
105,8579b251-264e-4e29-8238-f6b5084ceb67,Amsterdam,1.8543415623361077
106,729d05a6-142d-4a03-8190-b33b5754cab2,Amsterdam,1.3920553881109266
107,703f03fb-ddbe-48ca-8197-de2219f2ec89,Amsterdam,1.0934950350498203
108,484b81dd-3fed-4664-99ed-a1283afbf387,Amsterdam,2.0794768331931124
109,1bbe7db4-b743-4078-9e35-be86e53d6b0f,Amsterdam,2.004849356935941
110,76a524a5-cea5-4f64-a118-dcf8ba739f03,Amsterdam,1.5353497128374487
111,888ec1c3-fd58-4886-a7af-d1f891715b51,Amsterdam,1.4312982394780753
112,0a035d35-d169-4270-8280-c57955b3e4a4,Amsterdam,1.883226961798645
113,2d49c53c-61db-42f9-a6d3-8c1fdc10893c,Amsterdam,1.7540997142965602
114,a41004b6-e055-4800-85c2-82aca5f4ded5,Amsterdam,1.3444303827189505
115,6634edde-f010-4737-845f-ed22dde0419b,Amsterdam,2.049389156654719
116,2e7b5b9b-0103-43d0-9bad-3070df50bbfa,Amsterdam,1.7299891993140781
117,3641afdd-f429-41fe-a368-1cec42e50d6f,Amsterdam,2.2819656828483605
118,95620219-3bc5-4008-8d6f-87224a21fe7d,Amsterdam,1.1089921908676903
119,becac4bf-fc93-4e7c-9feb-48d6d4fe6871,Amsterdam,1.5460371292214488
120,7b7a4864-19ed-4ddf-a31a-59a1e86977f1,Amsterdam,1.3924946972740897
121,7cfb3960-44f1-4431-a0ae-4871db6012ad,Amsterdam,1.7275222422967924
122,81ed8c69-c23c-435c-89aa-00481e0491e9,Amsterdam,1.3793769054766547
123,b3d8d312-465f-4a68-bc3a-0de4ca5a7ca7,Amsterdam,1.1705408426782211
124,3de9cb0d-c4b7-4999-af86-d17cf2a3be48,Amsterdam,1.9426664385567312
125,0536b8da-9d9d-430e-9ad1-eb7a31d9c718,Amsterdam,1.4807773630293126
126,aadd1099-8a5e-4c19-a9ae-9b07959c36f3,Amsterdam,1.5353998255971
127,4b54ea17-8f59-4a90-aec2-1b545d1b12a2,Amsterdam,1.9149922108290676
128,c0a638cf-fbaa-4bcd-8d74-277817852990,Amsterdam,1.95339602935858
129,105e5b77-e024-448e-895b-b149d6ea7ae0,Amsterdam,1.4504781394139115
130,ba36d294-ca16-4e0d-90cc-b7f04620f4d6,Amsterdam,1.4800344141926596
131,e75deb55-7f99-4d3a-a99a-587fbbc43b32,Amsterdam,1.4658696848611261
132,c6f8da55-33d3-48f5-a904-4e25c422ddc7,Amsterdam,1.6419943828686443
133,6c7398c4-09fe-4e8b-b57c-b8f43461dd13,Amsterdam,1.830943830818244
134,5a4e04a1-3feb-46dd-b632-459ab09c18ac,Amsterdam,1.3697261039991697
135,3d214527-04bc-4bf9-9f68-c36a01e707ee,Amsterdam,1.3558947169015279
136,e8ce2809-514d-4068-b6b7-1228c5a71a62,Amsterdam,1.6495967254920085
137,f28a263d-3d38-4e3d-b28d-a43c2507ebc2,Amsterdam,1.887145618605544
138,0de239e5-5697-4109-9407-dd099a716782,Amsterdam,1.602659042755485
139,339db626-bf2c-4ab4-a3f4-ef7719a3998d,Amsterdam,2.063448320802009
140,ab983981-ea20-4702-8e4a-0540d11cef24,Amsterdam,1.084868771278869
141,e4b62710-7138-4806-8f47-3c382672a60c,Amsterdam,1.7038268393584455
142,191a1462-5f03-43c8-bf81-2fac63adf778,Amsterdam,2.0644073977795503
